date,OIY,CUBC,JJM,RBHC,RUAG,AM,RBI,equal_weight_returns
2017-02-08,,,,0.0,,0.0,,0.0
2017-02-09,,,,0.0,,0.0,,0.0
2017-02-10,,,,0.0,,0.0,,0.0
2017-02-13,,,,0.0,,0.0,,0.0
2017-02-14,,,,0.0001833333333334,,0.0,,9.16666666667e-05
2017-02-15,,,,-0.000266617786739,,0.0,,-0.0001333088933695
2017-02-16,,,,0.0,,0.0,,0.0
2017-02-17,,,,0.0,,0.0,0.0,0.0
2017-02-20,,,,0.0,,0.0,0.0,0.0
2017-02-21,,,,0.000166680556713,,0.0,0.0,5.5560185570999996e-05
2017-02-22,,,,0.0,,0.0,0.0,0.0
2017-02-23,,,,0.0,,0.0,0.0,0.0
2017-02-24,,,,0.0014915423714689,,0.0,0.0,0.0004971807904896333
2017-02-27,,,,-0.0003660900747988,,0.0,0.0,-0.00012203002493293333
2017-02-28,,,,0.0,,0.0,0.0,0.0
2017-03-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-02,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-03,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-06,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-07,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-08,0.0,,0.0,0.0051188147654916,0.0,0.0,0.0,0.0008531357942486
2017-03-09,0.0,,0.0,0.0006376283537594,0.0,0.0,0.0017818181818181,0.00040324108926291665
2017-03-10,0.0,,0.0,0.0,0.0,0.0,-0.001433808849686,-0.00023896814161433332
2017-03-13,0.0,,0.0,0.0,0.0,0.0,-0.0007270215743652,-0.0001211702623942
2017-03-14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-16,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-17,0.0,,0.0,-0.0016882246331835,0.0,0.0,0.0,-0.00028137077219725
2017-03-20,0.0,,0.0,-0.0005056659454709,0.0,0.0,0.0,-8.427765757848333e-05
2017-03-21,0.0,,0.0,0.0,-0.0026298969072164,0.0,0.0,-0.00043831615120273334
2017-03-22,0.0,,0.0,0.0,-0.0007111485980139,0.0,0.0,-0.00011852476633565
2017-03-23,0.0,,0.0,0.001907573897754,0.0,0.0,0.0,0.000317928982959
2017-03-24,0.0,,0.0,-8.278008642237378e-05,0.0,0.0,0.0,-1.379668107039563e-05
2017-03-27,0.0,,0.0,0.0,0.0,0.0,0.0014460066570871,0.00024100110951451664
2017-03-28,0.0,,0.0,0.0,0.0024845851249688,0.0,-6.356874960267156e-05,0.0004035027292276881
2017-03-29,0.0,,0.0,-0.00845254652626,-0.0007119545422183,0.0,0.0,-0.0015274168447463833
2017-03-30,0.0,,0.0,0.0015613128386671,0.0,0.0,0.0,0.0002602188064445167
2017-03-31,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-05,0.0,,0.0,0.0,0.0,0.0,0.0009808373444737,0.00016347289074561668
2017-04-06,0.0,,0.0,0.0,0.0,0.0,0.0006351049737791,0.00010585082896318335
2017-04-07,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-10,-0.0010451612903226,,0.0,0.0,0.0,0.0,0.0,-0.00017419354838709998
2017-04-11,-0.0001420839845516,,0.0,-0.0005335200653562,0.0,0.0,0.0,-0.00011260067498463336
2017-04-12,0.0,,0.0,-0.000116769813335,0.0073342261477604,0.0025230769230768,0.0,0.0016234222095836998
2017-04-13,0.0,,-0.0018124999999999,0.0,3.587624131795586e-05,-0.0012353446688355,0.0,-0.000501994737919574
2017-04-14,0.0,,-0.0001878404608353,0.0,0.0,-0.0002074258452603,0.0,-6.58777176826e-05
2017-04-17,0.0,,0.0,0.0016850183516849,0.0,0.0,0.0,0.00028083639194748333
2017-04-18,0.0,,0.0,-0.0005912626371978,0.0,0.0,0.0,-9.85437728663e-05
2017-04-19,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-20,0.0,,0.0,0.0,0.0,0.0,0.0009656535615842,0.00016094226026403333
2017-04-21,0.0,,0.0,0.0,0.0,0.0,-0.0014810520451652,-0.00024684200752753333
2017-04-24,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-25,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-26,0.0,,-0.0018411823647294,0.0,0.0,0.0,0.0020411680924603,3.333095462181671e-05
2017-04-27,0.0,,-0.0004015409132546,-0.0008665872295039,0.0,0.0,0.0008238574636054,-7.404511319218333e-05
2017-04-28,0.0,,0.0,-0.0003502714603818,0.0,0.0,0.000958868173718,0.00010143278555603335
2017-05-02,0.0,,0.0,0.0004838776957409,0.0,0.0,0.0,8.064628262348333e-05
2017-05-03,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-04,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-05,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-08,0.0,,0.0,0.0,0.0,0.0,0.0052913160962648,0.0008818860160441333
2017-05-09,0.0,,0.0,0.0,0.0,0.0,0.0015237530171658,0.0002539588361943
2017-05-10,0.0,,0.0023223409196471,0.0,-0.0034849955566306,0.0,0.0,-0.00019377577283058336
2017-05-11,0.0,,0.0038511634897178,0.0031353451798237,-0.0049886290116034,0.0,0.0,0.0003329799429896833
2017-05-12,0.0,,-0.0021209304646708,-0.0006650096842035,0.0,0.0,0.0086663435300875,0.0009800672302021998
