date,JJM,APCJ,SMSF,CCS,YP,RBI,OIY,CUBC,RBHC,AM,equal_weight_returns
2017-02-08,,,0.0,0.0,,,,,0.0,0.0,0.0
2017-02-09,,,0.0,0.0,,,,,0.0,0.0,0.0
2017-02-10,,,0.0,0.0,,,,,0.0,0.0,0.0
2017-02-13,,,0.0,0.0,,,,,0.0,0.0,0.0
2017-02-14,,,0.0,0.0,,,,,-0.0001384732031666,0.0,-3.461830079165e-05
2017-02-15,,,0.0,0.0,,,,,-0.0005878115338124,0.0,-0.0001469528834531
2017-02-16,,,0.0,0.0,,,,,0.0,0.0,0.0
2017-02-17,,,0.0,0.0,,0.0,,,0.0,0.0,0.0
2017-02-20,,,0.0,0.0,,0.0,,,0.0,0.0,0.0
2017-02-21,,,0.0,0.0,,0.0,,,-0.0002004273318311,0.0,-4.0085466366219995e-05
2017-02-22,,,0.0,0.0,,0.0,,,-0.000367792291586,0.0,-7.35584583172e-05
2017-02-23,,,0.0,0.0,,0.0,,,0.0,0.0,0.0
2017-02-24,,,0.0,0.0,,0.0,,,0.0011184173528797,0.0,0.00022368347057594002
2017-02-27,,,0.0,0.0,,0.0,,,-0.0007394259440138,0.0,-0.00014788518880276
2017-02-28,,,0.0,0.0,,0.0,,,0.0,0.0,0.0
2017-03-01,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2017-03-02,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2017-03-03,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2017-03-06,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2017-03-07,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2017-03-08,0.0,,0.0,0.0005757438444,,0.0,0.0,,0.0049375576757884,0.0,0.000787614502884057
2017-03-09,0.0,,0.0,-0.0003027534855443,,0.0015447512605455,0.0,,0.0004518785112046,0.0,0.00024198232660082856
2017-03-10,0.0,,0.0,0.0,0.0,-0.0014341482340712,0.0,,0.0,0.0,-0.0001792685292589
2017-03-13,0.0,,0.0,0.0,0.0,-0.0009632832505623,0.0,,0.0,0.0,-0.0001204104063202875
2017-03-14,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2017-03-15,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2017-03-16,0.0,,-0.0045281624124999,0.0,0.0,0.0,0.0,,0.0,0.0,-0.0005660203015624875
2017-03-17,0.0,,0.0065923512370817,0.0,0.0,0.0,0.0,,-0.0019967818254829,0.0,0.0005744461764498501
2017-03-20,0.0,,0.0001372208464742,0.0,0.0,0.0,0.0,,-0.000808956281218,0.0,-8.396692934297499e-05
2017-03-21,0.0,,-8.172464484434983e-05,0.0,0.0,0.0,0.0,,0.0,0.0,-1.0215580605543728e-05
2017-03-22,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2017-03-23,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0015900388641107,0.0,0.0001987548580138375
2017-03-24,0.0,,0.0,0.0,0.0,0.0,0.0,,-0.0004060168595149,0.0,-5.07521074393625e-05
2017-03-27,0.0,,0.0,0.0,0.0,0.0011680873008641,0.0,,0.0,0.0,0.0001460109126080125
2017-03-28,0.0,,0.0,0.0,0.0,-0.0003323229294543,0.0,,0.0,0.0,-4.15403661817875e-05
2017-03-29,0.0,,0.0,0.0,0.0,0.0,0.0,,-0.0087678880314995,0.0,-0.0010959860039374376
2017-03-30,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0011344503853245,0.0,0.0001418062981655625
2017-03-31,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2017-04-05,0.0,,0.0,0.0,0.0,0.0007102282745059,0.0,,0.0,0.0,8.87785343132375e-05
2017-04-06,0.0,,0.0,0.0,0.0,0.0003614678570045,0.0,,0.0,0.0,4.51834821255625e-05
2017-04-07,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2017-04-10,0.0,,0.0,0.0,0.0,0.0,-0.001258772352,,0.0,0.0,-0.000157346544
2017-04-11,0.0,,0.0,0.0,0.0,0.0,-0.0003107320699708,,-0.000869554709037,0.0,-0.00014753584737597501
2017-04-12,0.0,,0.0,0.0,0.0,0.0,0.0,,-0.0004493491542283,0.002307277843923,0.0002322410862118375
2017-04-13,-0.00198656448125,,0.0,0.0,0.0050458268819999,0.0,0.0,,0.0,-0.0012356106414048,0.0002279564699181375
2017-04-14,-0.0003626060390277,,0.0,0.0,-0.0017476481917735,0.0,0.0,,0.0,-0.0004246484911532,-0.0003168628402443
2017-04-17,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0014405368679919,0.0,0.0001800671084989875
2017-04-18,0.0,,0.0,0.0,0.0,0.0,0.0,,-0.0008454519867032,0.0,-0.0001056814983379
2017-04-19,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2017-04-20,0.0,,0.0026358501838847,0.0,0.0,0.0007092752594919,0.0,,0.0,0.0,0.00041814068042207497
2017-04-21,0.0,,-0.00435439806088,0.0,0.0,-0.0017466515217938,0.0,,0.0,0.0,-0.000762631197834225
2017-04-24,0.0,,0.00627822290752,0.0,0.0048347244510393,0.0,0.0,,0.0,0.0,0.0013891184198199125
2017-04-25,0.0,,0.0,0.0,4.6990400703883495e-05,0.0,0.0,,0.0,0.0,5.873800087985437e-06
