date,close,portfolio_value,daily_return,position,beta,g_pos,g_neg,holding_days,target_days,cash
2020-12-18,1213.9999999999927,1570000.0,0.0,0,1.1,0.0,0.0,0,0,1570000.0
2020-12-21,-4152.0,1570000.0,0.0,0,1.2,83.7352518320536,0.0,0,0,1570000.0
2020-12-22,-4020.0,1570000.0,0.0,0,1.2,0.0,4120.677577074681,0,0,1570000.0
2020-12-23,-4034.0,1570000.0,0.0,0,1.2,0.0,7275.808847047576,0,0,1570000.0
2020-12-24,-4006.0,1570000.0,0.0,0,1.2,0.0,9666.178929314012,0,0,1570000.0
2020-12-25,-4068.0,1569199.163654,-0.0005100868445859774,10,1.2,0.0,0.0,0,1,368251.76365400007
2020-12-28,-4026.0,1567872.3919388,-0.0008455088085252971,0,1.2,0.0,1003.0443090516121,1,0,1567872.3919388
2020-12-29,-4112.0,1567872.3919388,0.0,0,1.2,0.0,1332.070074062494,1,0,1567872.3919388
2020-12-30,-4052.0,1567987.9796612,7.372265944227685e-05,10,1.2,0.0,0.0,0,6,360162.5956611999
2020-12-31,-3990.0,1568607.9796612,0.00039541119450037243,10,1.2,0.0,0.0,1,6,360162.5956611999
2021-01-04,-3988.0,1568627.9796612,1.2750158267182954e-05,10,1.2,42.98162474292445,0.0,2,6,360162.5956611999
2021-01-05,1206.9999999999927,1568847.9796612,0.0001402499527309864,10,1.1,80.43833470991451,0.0,3,6,360162.5956611999
2021-01-06,1224.9999999999927,1568207.9796612,-0.0004079426485530391,10,1.1,4180.613229773827,0.0,4,6,360162.5956611999
2021-01-07,-4136.0,1567147.9796612,-0.0006759307526473801,10,1.2,7426.949494696352,0.0,5,6,360162.5956611999
2021-01-08,1206.9999999999927,1567633.6120486,0.0003098829170586903,0,1.1,5325.801478276329,1071.9948407228303,6,0,1567633.6120486
2021-01-11,1282.9999999999927,1567633.6120486,0.0,0,1.1,7760.555583546038,0.0,6,0,1567633.6120486
2021-01-12,1267.9999999999927,1567633.6120486,0.0,0,1.1,9507.649525503008,0.0,6,0,1567633.6120486
2021-01-13,1260.9999999999927,1565615.0270647001,-0.0012876637553478343,-10,1.1,0.0,0.0,0,1,402977.70706470014
2021-01-14,1286.9999999999927,1565228.6059577002,-0.00024681744893850777,0,1.1,380.8578419174094,0.0,1,0,1565228.6059577002
2021-01-15,1203.9999999999927,1565228.6059577002,0.0,0,1.1,775.2812806024416,0.0,1,0,1565228.6059577002
2021-01-18,1210.9999999999927,1565228.6059577002,0.0,0,1.1,1089.9558906089699,0.0,1,0,1565228.6059577002
2021-01-19,1205.9999999999927,1563075.4129126002,-0.001375641255791149,-10,1.1,0.0,0.0,0,7,392890.19291260024
2021-01-20,1226.9999999999927,1562865.4129126002,-0.00013435052350330157,-10,1.1,0.0,32.25442487044131,1,7,392890.19291260024
2021-01-21,1237.9999999999927,1562755.4129126002,-7.038353980526324e-05,-10,1.1,0.0,36.2063497684497,2,7,392890.19291260024
2021-01-22,1246.9999999999927,1562665.4129126002,-5.759058599719147e-05,-10,1.1,0.0,25.409321206811633,3,7,392890.19291260024
2021-01-25,1174.9999999999927,1563385.4129126002,0.00046075122291089343,-10,1.1,9.678090928680836,3.9445549926351315,4,7,392890.19291260024
2021-01-26,1148.9999999999927,1563645.4129126002,0.00016630576046861023,-10,1.1,0.0,39.53321300206745,5,7,392890.19291260024
2021-01-27,1167.9999999999927,1563455.4129126002,-0.00012151092468337676,-10,1.1,0.0,91.09811400476218,6,7,392890.19291260024
2021-01-28,1241.9999999999927,1562142.9518056002,-0.0008394618075836524,0,1.1,0.0,116.93119805124745,7,0,1562142.9518056002
2021-01-29,1152.9999999999927,1562142.9518056002,0.0,0,1.1,27.225436139462136,73.29949133356692,7,0,1562142.9518056002
2021-02-01,1138.9999999999927,1562142.9518056002,0.0,0,1.1,0.0,107.44360816661701,7,0,1562142.9518056002
2021-02-02,1133.9999999999927,1562142.9518056002,0.0,0,1.1,0.0,141.41298522169353,7,0,1562142.9518056002
2021-02-03,1141.9999999999927,1560864.1227238001,-0.0008186376799395045,10,1.1,0.0,0.0,0,1,430419.9307238002
2021-02-04,1191.9999999999927,1560222.1997552004,-0.0004112612746069999,0,1.1,0.0,11.520249558530267,1,0,1560222.1997552004
2021-02-05,1196.9999999999927,1560222.1997552004,0.0,0,1.1,17.13494233187932,0.0,1,0,1560222.1997552004
2021-02-08,1193.9999999999927,1560222.1997552004,0.0,0,1.1,34.801276517389354,0.0,1,0,1560222.1997552004
2021-02-09,1247.9999999999927,1560222.1997552004,0.0,0,1.1,58.65622931802224,0.0,1,0,1560222.1997552004
2021-02-10,1168.9999999999927,1560222.1997552004,0.0,0,1.1,120.30318596045888,0.0,1,0,1560222.1997552004
2021-02-18,1321.9999999999927,1560222.1997552004,0.0,0,1.1,99.31577118224364,5.584013793213198,1,0,1560222.1997552004
2021-02-19,1355.9999999999927,1560222.1997552004,0.0,0,1.1,200.3303757014408,0.0,1,0,1560222.1997552004
2021-02-22,1403.0,1559066.8649828006,-0.0007404937403026057,-10,1.1,0.0,0.0,0,1,284283.62498280045
2021-02-23,1290.0,1561612.2780207007,0.0016326516168556626,0,1.1,114.96249096707572,0.0,1,0,1561612.2780207007
2021-02-24,1294.0,1561612.2780207007,0.0,0,1.1,104.80182802307172,0.0,1,0,1561612.2780207007
2021-02-25,1147.0,1561612.2780207007,0.0,0,1.1,86.27718331131464,0.0,1,0,1561612.2780207007
2021-02-26,1158.0,1561612.2780207007,0.0,0,1.1,0.0,117.21844876835817,1,0,1561612.2780207007
2021-03-01,1296.0,1561612.2780207007,0.0,0,1.1,0.0,221.40752708411173,1,0,1561612.2780207007
2021-03-02,1296.9999999999927,1561612.2780207007,0.0,0,1.1,0.0,184.14930135483195,1,0,1561612.2780207007
2021-03-03,1304.0,1561612.2780207007,0.0,0,1.1,9.874362588243962,138.5950925145171,1,0,1561612.2780207007
2021-03-04,1295.9999999999927,1561612.2780207007,0.0,0,1.1,44.668585610385136,75.67502982237067,1,0,1561612.2780207007
2021-03-05,1536.9999999999927,1561612.2780207007,0.0,0,1.1,70.49960540713337,21.50604961912937,1,0,1561612.2780207007
2021-03-08,1552.9999999999927,1561612.2780207007,0.0,0,1.1,291.06951021418166,0.0,1,0,1561612.2780207007
2021-03-09,1384.9999999999927,1561612.2780207007,0.0,0,1.1,466.62806794360466,0.0,1,0,1561612.2780207007
2021-03-10,1500.9999999999927,1561612.2780207007,0.0,0,1.1,447.1941743070133,0.0,1,0,1561612.2780207007
2021-03-11,1514.0,1560029.3633113008,-0.0010136413062826755,-10,1.1,0.0,0.0,0,1,256365.12331130067
2021-03-12,7410.0,1560340.6600486005,0.00019954543460576346,0,1.0,50.41776607728261,0.0,1,0,1560340.6600486005
2021-03-15,7480.0,1560340.6600486005,0.0,0,1.0,4696.870923155534,0.0,1,0,1560340.6600486005
2021-03-16,7360.0,1560340.6600486005,0.0,0,1.0,8399.245262034574,0.0,1,0,1560340.6600486005
2021-03-17,7420.0,1560340.6600486005,0.0,0,1.0,11096.350191853398,0.0,1,0,1560340.6600486005
2021-03-18,7420.0,1559382.0267086006,-0.0006143743892247366,-10,1.0,0.0,0.0,0,1,295583.54670860054
2021-03-19,7370.0,1559022.5400666005,-0.00023053147711260547,0,1.0,1113.8659900676098,0.0,1,0,1559022.5400666005
2021-03-22,7390.0,1559022.5400666005,0.0,0,1.0,1470.3871968042417,0.0,1,0,1559022.5400666005
2021-03-23,7480.0,1557262.5867086004,-0.0011288825612008058,-10,1.0,0.0,0.0,0,9,292064.7067086005
2021-03-24,7450.0,1557562.5867086004,0.0001926457378225166,-10,1.0,53.14705973259087,0.0,1,9,292064.7067086005
2021-03-25,1583.9999999999927,1558062.5867086004,0.0003210143876508642,-10,1.1,81.6710008017344,0.0,2,9,292064.7067086005
2021-03-26,1588.9999999999927,1557462.5867086004,-0.0003850936445803921,-10,1.1,0.0,4562.368620514692,3,9,292064.7067086005
2021-03-29,1571.9999999999927,1557462.5867086004,0.0,-10,1.1,0.0,8158.55022394422,4,9,292064.7067086005
2021-03-30,1584.9999999999927,1557762.5867086004,0.0001926209994129735,-10,1.1,0.0,10881.381736927866,5,9,292064.7067086005
2021-03-31,7320.0,1558862.5867086004,0.0007061409802660013,-10,1.0,0.0,12763.02257606271,6,9,292064.7067086005
2021-04-01,7230.0,1559762.5867086004,0.0005773440248511008,-10,1.0,2613.366033499752,8902.10289527674,7,9,292064.7067086005
2021-04-02,1508.0,1557362.5867086004,-0.0015386957094953857,-10,1.1,5181.299718479726,5104.322294542419,8,9,292064.7067086005
2021-04-06,1362.0,1556497.6999766007,-0.0005553534799032089,0,1.1,2933.977024999208,6237.571029633321,9,0,1556497.6999766007
2021-04-07,1438.9999999999927,1556497.6999766007,0.0,0,1.1,567.8451769163064,7480.582038693269,9,0,1556497.6999766007
2021-04-08,1410.9999999999927,1556497.6999766007,0.0,0,1.1,0.0,8622.248307262593,9,0,1556497.6999766007
2021-04-09,7330.0,1556497.6999766007,0.0,0,1.0,0.0,9765.800684939004,9,0,1556497.6999766007
2021-04-12,7320.0,1556497.6999766007,0.0,0,1.0,2760.234608368804,5751.74957902209,9,0,1556497.6999766007
2021-04-13,7290.0,1556497.6999766007,0.0,0,1.0,5510.469216737608,1747.6984731051755,9,0,1556497.6999766007
2021-04-14,1440.9999999999927,1556497.6999766007,0.0,0,1.1,8220.022173326506,0.0,9,0,1556497.6999766007
2021-04-15,7400.0,1556497.6999766007,0.0,0,1.0,5088.393530071405,1870.085642459193,9,0,1556497.6999766007
2021-04-16,7460.0,1556497.6999766007,0.0,0,1.0,7052.692245708689,0.0,9,0,1556497.6999766007
2021-04-19,7570.0,1556497.6999766007,0.0,0,1.0,8268.909769163178,0.0,9,0,1556497.6999766007
2021-04-20,1448.0,1556497.6999766007,0.0,0,1.1,8843.988403013938,0.0,9,0,1556497.6999766007
2021-04-21,1433.0,1556497.6999766007,0.0,0,1.1,4005.577195038794,3673.8745063105675,9,0,1556497.6999766007
2021-04-22,1423.0,1556497.6999766007,0.0,0,1.1,0.0,6463.516700653127,9,0,1556497.6999766007
2021-04-23,1361.0,1556497.6999766007,0.0,0,1.1,0.0,8419.69047015455,9,0,1556497.6999766007
2021-04-26,1361.0,1556497.6999766007,0.0,0,1.1,0.0,10424.277054693928,9,0,1556497.6999766007
2021-04-27,1420.0,1556497.6999766007,0.0,0,1.1,0.0,11617.806777100735,9,0,1556497.6999766007
2021-04-28,1347.0,1556889.2308768006,0.0002515460833676375,10,1.1,0.0,0.0,0,1,125284.79887680063
2021-04-29,1298.0,1556986.0441746006,6.218380593803197e-05,0,1.1,0.0,43.7675439063829,1,0,1556986.0441746006
2021-04-30,1314.0,1556986.0441746006,0.0,0,1.1,0.0,113.42207972328599,1,0,1556986.0441746006
2021-05-06,1223.0,1556986.0441746006,0.0,0,1.1,0.0,150.43745810448988,1,0,1556986.0441746006
2021-05-07,1376.0,1556986.0441746006,0.0,0,1.1,0.0,247.05144448697223,1,0,1556986.0441746006
2021-05-10,1380.0,1556986.0441746006,0.0,0,1.1,29.188320985356718,192.52547975804316,1,0,1556986.0441746006
2021-05-11,1420.0,1556986.0441746006,0.0,0,1.1,59.31711979556008,136.3685642825323,1,0,1556986.0441746006
2021-05-12,1399.0,1556986.0441746006,0.0,0,1.1,129.44591860576344,40.211648807021454,1,0,1556986.0441746006
2021-05-13,1280.0,1556986.0441746006,0.0,0,1.1,170.3092287656154,0.0,1,0,1556986.0441746006
2021-05-14,1344.0,1556986.0441746006,0.0,0,1.1,94.28377525098837,47.40311791394454,1,0,1556986.0441746006
2021-05-17,1259.0,1556986.0441746006,0.0,0,1.1,78.18176593789164,35.30110860084782,1,0,1556986.0441746006
2021-05-18,1311.0,1556986.0441746006,0.0,0,1.1,0.0,115.31003064612091,1,0,1556986.0441746006
2021-05-19,1248.0,1556986.0441746006,0.0,0,1.1,0.0,133.92656972108128,1,0,1556986.0441746006
2021-05-20,1257.0,1556986.0441746006,0.0,0,1.1,0.0,195.42595245124258,1,0,1556986.0441746006
2021-05-21,1551.0,1557331.4168885006,0.00022182132922266007,10,1.1,0.0,0.0,0,1,98834.4428885006
2021-05-24,1548.0,1557037.4663357006,-0.00018875272765461748,0,1.1,208.20514449491935,0.0,1,0,1557037.4663357006
2021-05-25,1445.0,1557037.4663357006,0.0,0,1.1,369.6784948948652,0.0,1,0,1557037.4663357006
2021-05-26,1446.0,1557037.4663357006,0.0,0,1.1,413.0395947466522,0.0,1,0,1557037.4663357006
2021-05-27,1496.0,1557037.4663357006,0.0,0,1.1,432.3219469778547,0.0,1,0,1557037.4663357006
2021-05-28,1509.0,1557037.4663357006,0.0,0,1.1,475.68491075797846,0.0,1,0,1557037.4663357006
2021-05-31,1537.0,1556640.4917613005,-0.00025495505598482904,-10,1.1,0.0,0.0,0,1,111648.73176130053
2021-06-01,1582.0,1556561.4724500007,-5.076272377468882e-05,0,1.1,23.422753203403673,0.0,1,0,1556561.4724500007
2021-06-02,1597.0,1556561.4724500007,0.0,0,1.1,86.13748866297173,0.0,1,0,1556561.4724500007
2021-06-03,7950.0,1556561.4724500007,0.0,0,1.0,155.09644773343967,0.0,1,0,1556561.4724500007
2021-06-04,7730.0,1556561.4724500007,0.0,0,1.0,5174.231632932534,0.0,1,0,1556561.4724500007
2021-06-07,1397.0,1556561.4724500007,0.0,0,1.1,8946.65071338925,0.0,1,0,1556561.4724500007
2021-06-08,1361.0,1556561.4724500007,0.0,0,1.1,6398.186927378668,1315.2504997037038,1,0,1556561.4724500007
2021-06-09,1242.0,1556561.4724500007,0.0,0,1.1,3831.8597763548064,2642.351920108413,1,0,1556561.4724500007
2021-06-10,1297.0,1556561.4724500007,0.0,0,1.1,1182.6828825776797,4040.317883474144,1,0,1556561.4724500007
2021-06-11,-5030.0,1556561.4724500007,0.0,0,1.2,0.0,5337.109330558689,1,0,1556561.4724500007
2021-06-15,-4902.0,1556561.4724500007,0.0,0,1.2,0.0,11754.726279947621,1,0,1556561.4724500007
2021-06-16,-4762.0,1556561.4724500007,0.0,0,1.2,0.0,16224.250458819226,1,0,1556561.4724500007
2021-06-17,-4784.0,1558163.8969770009,0.0010294643387760427,10,1.2,0.0,0.0,0,1,126847.7769770007
2021-06-18,1359.0,1557912.1087254009,-0.0001615929184911602,0,1.1,0.0,1898.7574562313164,1,0,1557912.1087254009
2021-06-21,1372.9999999999927,1557912.1087254009,0.0,0,1.1,2924.97277356188,0.0,1,0,1557912.1087254009
2021-06-22,1536.0,1557912.1087254009,0.0,0,1.1,5840.582928164861,0.0,1,0,1557912.1087254009
