date,J-JM,OI-Y,L-MA,P-Y
2017-07-12,0.00011409,0.00091744,-0.00437714,0.01050957
2017-07-13,0.0028723,-0.00049815,-0.00457482,-9.924e-05
2017-07-14,0.00033873,0.00091706,0.00027884,0.00037715
2017-07-17,0.00117506,0.00069712,0.0004281,-0.00034724
2017-07-18,0.00202176,0.00109471,-0.00045279,0.00133982
2017-07-19,-0.00118139,0.00019882,-0.00064714,0.00014867
2017-07-20,0.00016897,0.00025842,-0.01941674,-0.00129819
2017-07-21,0.00040596,0.00065581,-0.00387592,-0.00125026
2017-07-24,0.00055149,-0.00137034,-0.00192765,0.00082462
2017-07-25,-0.00025645,0.0,0.00224816,-0.00297809
2017-07-26,0.0006705,0.00039774,-0.00433839,-0.00144371
2017-07-27,0.0,-0.00063614,0.00035841,-0.00285171
2017-07-28,0.0,-0.00143222,0.0058503,0.00078996
2017-07-31,0.0,-0.00892438,0.00114494,0.00455619
2017-08-01,0.0,0.0005628,-0.00935232,0.00183012
2017-08-02,0.0,0.00208921,0.00201639,-0.00072476
2017-08-03,0.0,0.00262612,0.00525358,0.00062593
2017-08-04,0.0,-0.00105969,-0.00501728,-0.00113192
2017-08-07,0.0,0.00084065,0.01710381,0.00110338
2017-08-08,0.00075711,-0.00097993,-0.00415749,0.00057591
2017-08-09,0.00028684,-0.0006606,-6.065e-05,-0.00152825
2017-08-10,-0.00084518,0.00114179,-0.00075819,0.00164986
2017-08-11,-0.00073513,0.00578248,0.00867522,6.946e-05
2017-08-14,0.00113877,0.00026588,-0.00171511,-0.00306585
2017-08-15,0.00160304,0.00024972,0.00391837,0.00307528
2017-08-16,0.00164318,0.00018038,-0.0002502,0.00131961
2017-08-17,-4.97e-05,0.0,-0.00190698,-0.00099088
2017-08-18,0.00090594,0.0,-0.00352036,-0.00182502
2017-08-21,-0.00303256,0.0,-0.00061396,-0.00103342
2017-08-22,-0.00120666,-0.00231249,-0.01003588,-0.00235744
2017-08-23,-0.00200094,-0.00266009,0.00457286,0.0017249
2017-08-24,-0.00049178,-0.00023975,-0.00034938,-0.00193095
2017-08-25,9.017e-05,0.00034972,0.00087628,0.00034904
2017-08-28,-0.00357764,-0.0006892,0.00034413,-0.00052829
2017-08-29,-0.00137236,0.00111947,0.00191232,0.00028611
2017-08-30,-0.00063895,-0.00011981,0.001636,0.00028663
2017-08-31,0.00417611,-0.00027959,-0.00434547,0.0
2017-09-01,0.00222086,0.00048942,-0.00678462,0.0
2017-09-04,-0.00111175,-0.00028671,0.00098896,0.0
2017-09-05,0.00138556,-0.00076593,-0.00272459,0.0
2017-09-06,-0.00437774,-0.00036709,0.00730756,0.0
2017-09-07,-0.00145301,0.0,0.00280347,0.0
2017-09-08,-1.34e-06,0.0,0.00343767,0.0
2017-09-11,-0.00232365,0.0,0.00148623,0.0
2017-09-12,-4.43e-06,0.0,-0.00026662,0.0
2017-09-13,0.0,0.0,0.00693904,0.0
2017-09-14,0.0,0.0,0.00526711,0.0
2017-09-15,0.0,0.0,-0.00356426,-0.00146269
2017-09-18,0.0,0.0,-0.00284365,0.00135773
2017-09-19,0.0,0.0,0.00379234,0.00211359
2017-09-20,0.0,0.0,-0.00010965,-0.00151221
2017-09-21,-0.00026377,0.0,4.486e-05,0.00017935
2017-09-22,0.00218327,0.0,-0.00040375,0.00073719
2017-09-25,-0.00135175,0.0,-0.00283234,0.00167238
2017-09-26,-2.793e-05,0.0,-0.00298041,0.00033789
2017-09-27,0.00137647,0.0,0.00067711,0.00065033
2017-09-28,0.00226476,0.0,0.00643071,-0.00423912
2017-09-29,-0.00291754,0.0,0.00285366,0.00100702
2017-10-09,0.00029185,0.0,0.00152458,0.00212158
2017-10-10,0.00309267,0.0,-0.00275692,-0.00025842
2017-10-11,0.00125197,0.00098742,-0.00228721,-0.00081524
2017-10-12,0.00222799,0.00138826,-0.00949374,0.00209946
2017-10-13,0.00048748,0.00161573,-0.0036578,-1.986e-05
2017-10-16,-0.00237212,0.0,-0.00267136,9.929e-05
2017-10-17,0.00034455,0.00088622,-0.00124052,0.00100277
2017-10-18,0.0,0.00030841,0.0011356,-0.00199362
2017-10-19,0.0,-0.00030123,0.00318519,-0.00014907
2017-10-20,0.0,0.0,-0.00283687,0.0028229
2017-10-23,0.0,0.0,0.00498624,0.00231936
2017-10-24,0.0,0.0,0.00186875,0.00140422
2017-10-25,0.0,0.0,-0.00379589,-0.00088875
2017-10-26,0.0,0.0,0.00639432,-0.00104768
2017-10-27,0.0,0.0,0.00112832,0.00095973
2017-10-30,-0.00211496,0.000419,-0.00069627,0.00114662
